iter,loss_total,loss_pde,loss_ic,loss_bc
25,4.721880609013493e-06,9.244462938386493e-07,1.823119588246147e-07,3.536980655469778e-06
26,4.457354347477616e-06,8.954587888615187e-07,1.7286171441011509e-07,3.3064964223653215e-06
27,4.183231664299837e-06,8.786177584990796e-07,1.6278947928301918e-07,3.053239899126407e-06
28,3.7605293874549336e-06,8.789798575794685e-07,1.5051595721504276e-07,2.6111682092183743e-06
29,3.463665826650611e-06,8.846708774665871e-07,1.4743224007526376e-07,2.261000730324833e-06
30,3.334250155189899e-06,8.864775164058267e-07,1.493161463264003e-07,2.0898804021427424e-06
31,3.1943591496604394e-06,8.743280808866324e-07,1.5060086633815054e-07,1.926580686336594e-06
32,3.1412180237393153e-06,8.605994222812845e-07,1.4528990862787692e-07,1.9102986832502408e-06
33,3.0310789602421587e-06,8.232842313802063e-07,1.3630553404552925e-07,1.8752612785522075e-06
34,2.960031659691535e-06,8.080932306864459e-07,1.3374902258958865e-07,1.8224884641138599e-06
35,2.850771132715603e-06,7.818013230429385e-07,1.2794536007860686e-07,1.7560872879135404e-06
36,2.6263401095389047e-06,7.193152432625108e-07,1.1964295061467708e-07,1.60840175985658e-06
37,2.538627034875851e-06,6.975513038354225e-07,1.2241590297512454e-07,1.5114896291964653e-06
38,2.4829180912091384e-06,6.971677072840034e-07,1.207952183796545e-07,1.453772094381865e-06
39,2.4316953657813286e-06,6.9508375795008e-07,1.1800114843615183e-07,1.4106024382084718e-06
40,2.3236353482078644e-06,6.832897644766142e-07,1.1142838930110467e-07,1.3325968046646706e-06
41,2.169001382348113e-06,6.502355910306898e-07,1.000254120359599e-07,1.2526127494815188e-06
42,2.109116143935218e-06,6.370389093749985e-07,9.460743095692239e-08,1.2281059810120056e-06
43,2.0286166736594602e-06,6.242777684938754e-07,8.665378141591285e-08,1.1931055531101405e-06
44,1.9707625691298196e-06,6.008864244757737e-07,7.703042484036574e-08,1.208620194561298e-06
45,1.9312096826377087e-06,5.957111418502247e-07,7.406393789867828e-08,1.1844637990624722e-06
46,1.8738941982240587e-06,5.840195399770496e-07,7.09220175224902e-08,1.1476546321235815e-06
47,1.8199443697658455e-06,5.689408489087828e-07,6.977799497300249e-08,1.1071346862678727e-06
48,1.7758819758570817e-06,5.527538431364809e-07,6.856350413816487e-08,1.0804315619836645e-06
49,1.7452631137311889e-06,5.503419428872358e-07,6.823624083522968e-08,1.0480233094510005e-06
50,1.7236957482126658e-06,5.478754130676959e-07,6.581853202839547e-08,1.0391991696177187e-06
51,1.6885150717330938e-06,5.415128069665202e-07,6.317055788077751e-08,1.019912664821116e-06
52,1.6000061275060639e-06,5.203624501204729e-07,5.641576936938333e-08,9.782116727434571e-07
53,1.5328522544715263e-06,4.990053826841559e-07,5.563660809959388e-08,9.270743589374229e-07
54,1.4865214593186658e-06,4.902608708584633e-07,5.3091905943574046e-08,8.964887675663414e-07
55,1.4536675494577028e-06,4.844037335903181e-07,5.0938685833913935e-08,8.764649380615815e-07
56,1.413786384346195e-06,4.798299924259506e-07,5.052537588702408e-08,8.359205455380243e-07
57,1.3736245287312705e-06,4.669745278059643e-07,4.875536597589072e-08,8.132298376752546e-07
58,1.3445281745653038e-06,4.583204304680398e-07,4.7622772930256114e-08,7.950929231960427e-07
59,1.3044160815565692e-06,4.4644104717274316e-07,4.721249581984124e-08,7.631493101945822e-07
60,1.2522009922637498e-06,4.2613623372036846e-07,4.948317718332012e-08,7.107067139779242e-07
61,1.2217484983060314e-06,4.1334374041509134e-07,4.9553653493214765e-08,6.887709976432781e-07
62,1.19037620315443e-06,4.0514868992504273e-07,4.7187575867335783e-08,6.746722014434943e-07
63,1.1514021827068068e-06,3.953582284559435e-07,4.356484883543992e-08,6.607645796580223e-07
64,1.1183410688576614e-06,3.895344083956544e-07,4.0788929580336275e-08,6.441683567307354e-07
65,1.0721213785264836e-06,3.813090732037658e-07,3.782139559913906e-08,6.156120435436694e-07
66,1.0650504612012423e-06,3.719237401785475e-07,3.877383869905185e-08,6.127407777207449e-07
