iter,loss_total,loss_pde,loss_ic,loss_bc
49,1.6626418949306714e-06,9.160981182948678e-07,3.053705988620272e-07,1.2764706814062798e-06
50,1.6166277487160295e-06,8.689318766708637e-07,3.0763201923816065e-07,1.2687965875136302e-06
51,1.4996518036471831e-06,7.848224964928243e-07,2.956413046103692e-07,1.2047712115830417e-06
52,1.3525814065957414e-06,7.022263848904543e-07,2.7859395399438666e-07,1.0442914745075664e-06
53,1.274587324327916e-06,6.660288820982279e-07,2.6957265843681595e-07,9.293219134227123e-07
54,1.2492996018489697e-06,6.505315751596761e-07,2.6776309774652446e-07,9.007560092544975e-07
55,1.2102997590163562e-06,6.24012012347361e-07,2.6323910691331376e-07,8.762866639466109e-07
56,1.1886833754056611e-06,6.02473206075669e-07,2.6203115459766806e-07,8.824905757754515e-07
57,1.1393896373418911e-06,5.54003860213041e-07,2.6044711640082446e-07,8.877979149904895e-07
58,1.1183515267346133e-06,5.043432673928803e-07,2.848281927221975e-07,8.684646050657621e-07
59,1.0577929669313324e-06,4.940630405077246e-07,2.5493726574599823e-07,8.327313771768716e-07
60,1.0172719631253838e-06,4.793896961526365e-07,2.4490768446843426e-07,7.85609152935874e-07
61,9.963524349243433e-07,4.6937657070811683e-07,2.3912257716979037e-07,7.740930298338774e-07
62,9.872950464834143e-07,4.50499849817838e-07,2.456134054595999e-07,7.775530697158685e-07
63,9.724104957719111e-07,4.525531762409816e-07,2.3730499418695505e-07,7.560266060885997e-07
64,9.634675943881394e-07,4.49895414928764e-07,2.351719045935626e-07,7.429213831135488e-07
65,9.500317434555422e-07,4.4211037068698686e-07,2.3526268134138984e-07,7.203181366449697e-07
66,9.357619745668577e-07,4.331436162630624e-07,2.3551432741358368e-07,6.982093226888966e-07
